customer_id,Segment,Currency
3,2,1
5,1,1
6,2,1
7,1,1
9,2,1
10,1,1
20,0,1
35,1,1
37,2,1
38,2,1
39,0,1
44,1,1
48,2,1
51,1,1
52,1,1
63,2,1
70,1,1
73,1,1
75,1,1
77,1,1
82,2,1
87,2,1
92,1,1
95,2,1
96,1,1
97,2,1
98,2,1
99,2,1
100,1,1
101,0,1
103,2,1
104,2,1
105,0,1
106,2,1
114,1,1
115,1,1
117,2,1
122,1,1
123,2,1
128,2,1
134,2,1
136,2,1
137,1,1
138,0,1
144,2,1
152,2,1
154,0,1
160,2,1
164,2,1
165,2,1
166,1,1
169,2,1
172,1,1
175,2,1
193,1,1
201,2,1
204,1,1
205,2,1
208,1,1
210,0,1
212,2,1
214,1,1
215,1,1
216,2,1
219,2,1
220,2,1
224,1,1
227,2,1
230,1,1
232,0,1
233,1,1
235,1,1
236,0,1
254,2,1
256,1,1
259,2,1
263,2,1
272,1,1
274,2,1
281,2,1
283,2,1
285,0,1
289,2,1
291,1,1
294,1,1
296,0,1
305,2,0
314,2,0
316,2,0
322,2,0
323,1,0
324,2,0
331,2,0
335,1,0
336,2,0
337,2,0
339,1,0
342,2,0
344,2,0
345,2,0
346,1,0
348,2,0
349,2,0
361,1,0
370,2,0
373,2,0
381,1,0
382,1,0
392,2,0
394,2,0
405,2,0
407,1,1
408,2,0
414,2,0
419,1,0
420,2,0
421,2,0
423,2,0
424,1,0
427,2,0
431,2,0
445,2,0
448,2,0
453,2,0
465,0,1
475,2,0
476,2,0
480,2,0
482,2,0
484,2,0
486,0,0
496,2,0
500,2,0
501,1,0
504,2,0
505,2,0
509,0,0
519,1,1
522,2,0
524,2,0
525,0,0
528,2,0
531,2,0
533,2,0
534,2,1
536,2,0
539,2,0
542,2,0
544,2,0
548,2,0
551,2,0
559,1,0
560,2,0
562,1,0
576,2,0
579,2,0
580,2,0
583,0,0
588,1,0
591,1,1
592,2,1
598,2,0
600,2,0
602,0,0
603,0,0
604,2,0
607,1,0
609,2,0
613,1,0
615,2,1
619,2,0
623,1,1
628,1,0
630,0,0
633,2,0
634,1,0
639,2,0
640,2,0
643,0,0
644,2,0
645,0,0
647,2,0
648,2,0
649,2,0
650,2,0
651,0,0
653,2,0
654,2,0
656,1,0
657,1,0
658,1,0
660,1,0
661,0,0
665,1,0
669,2,0
670,2,0
671,2,0
672,2,0
675,2,0
676,1,0
677,2,0
678,2,0
679,1,1
681,2,0
683,2,0
684,2,0
686,2,0
688,2,0
689,2,0
690,2,0
692,2,0
693,2,0
694,2,0
698,2,0
700,2,0
702,2,0
703,0,0
704,0,0
711,2,0
712,2,0
714,2,0
715,2,0
716,2,0
718,1,0
721,2,0
722,2,0
723,2,0
724,0,0
726,0,0
727,2,0
730,2,0
731,2,0
732,2,0
733,2,0
738,2,0
739,2,0
744,2,0
746,1,1
747,2,0
752,1,0
755,2,0
757,2,0
759,2,0
761,1,0
764,2,0
767,2,0
770,2,0
773,2,0
774,2,0
776,2,0
778,2,0
783,2,0
788,0,1
789,2,0
793,2,0
796,2,0
802,2,0
804,2,0
808,2,0
815,0,0
818,2,0
819,2,0
821,1,0
823,1,0
824,2,0
826,2,0
828,2,0
829,2,0
832,2,0
834,0,0
836,1,0
837,2,0
840,2,0
842,0,0
843,2,0
847,1,0
849,2,0
854,2,0
857,2,0
858,2,0
867,1,0
870,2,0
871,2,0
872,1,1
873,2,0
874,2,0
875,2,0
878,2,0
879,2,0
881,0,0
884,2,1
885,2,0
887,2,0
893,2,1
897,0,1
900,2,0
903,2,0
904,2,0
908,2,0
909,2,0
910,2,0
914,0,0
915,2,0
916,2,0
919,2,0
922,0,0
924,2,0
926,1,0
928,2,0
930,2,0
933,2,0
935,2,0
940,1,0
945,1,0
946,1,0
952,0,1
953,2,0
954,1,0
955,2,0
956,1,0
958,2,0
961,0,0
966,1,0
969,1,0
972,0,0
974,1,0
977,2,0
978,0,0
983,2,0
987,1,0
993,2,0
994,2,0
997,1,0
998,2,0
999,2,0
1000,0,0
1004,0,0
1006,2,0
1011,0,0
1012,1,0
1013,1,0
1014,1,0
1017,2,0
1018,2,0
1022,0,0
1023,2,0
1025,1,0
1027,2,0
1028,2,0
1029,2,0
1031,2,0
1032,2,0
1033,0,0
1036,0,0
1037,2,0
1043,1,0
1044,2,0
1046,2,0
1050,2,0
1051,1,0
1053,2,0
1054,1,0
1055,2,1
1057,2,0
1061,2,0
1064,0,0
1065,2,0
1067,2,0
1070,2,0
1071,2,0
1072,2,0
1075,2,0
1076,2,0
1077,2,0
1078,2,0
1079,2,0
1080,2,0
1081,2,0
1083,2,0
1087,2,0
1088,0,0
1089,2,0
1090,2,0
1093,2,0
1094,1,0
1096,1,0
1097,2,0
1103,1,0
1108,1,0
1110,2,0
1111,0,0
1112,2,0
1113,2,1
1115,1,0
1116,2,0
1117,2,0
1118,0,0
1119,2,0
1120,1,0
1121,1,0
1127,0,0
1128,2,0
1132,0,0
1133,1,0
1135,0,0
1137,0,0
1138,1,0
1140,1,0
1143,2,1
1147,0,0
1148,2,0
1149,2,0
1151,0,0
1152,1,0
1153,2,0
1158,2,0
1159,2,0
1160,0,0
1163,2,0
1164,0,0
1168,0,0
1169,2,0
1170,2,0
1172,0,0
1174,1,0
1176,1,0
1179,0,0
1183,2,0
1184,2,0
1188,2,0
1189,0,0
1192,2,0
1195,1,0
1196,2,0
1200,2,0
1204,2,0
1205,0,0
1206,0,0
1207,2,0
1211,2,0
1212,0,0
1214,0,0
1215,2,0
1216,1,0
1218,2,0
1219,0,0
1221,2,0
1222,1,0
1224,1,0
1227,2,0
1230,2,0
1232,0,0
1233,1,0
1234,2,0
1235,2,0
1237,2,0
1239,0,0
1240,2,0
1241,2,0
1245,0,0
1247,2,0
1248,1,0
1249,0,0
1250,1,0
1251,2,0
1253,2,0
1255,0,0
1257,0,0
1258,1,0
1259,2,0
1261,2,0
1262,1,0
1263,2,0
1264,0,0
1265,2,0
1268,0,0
1269,2,0
1270,2,0
1271,2,0
1275,0,0
1276,0,0
1278,1,0
1279,2,0
1281,2,0
1282,2,1
1284,0,0
1285,0,0
1286,2,0
1289,1,0
1292,1,0
1293,2,0
1294,2,0
1296,2,0
1298,0,0
1299,1,0
1300,2,0
1303,2,0
1304,2,0
1306,1,0
1307,2,0
1309,0,0
1315,2,0
1319,0,0
1320,2,0
1322,2,0
1330,2,0
1332,1,0
1333,2,0
1336,1,0
1337,1,0
1339,2,0
1341,2,0
1342,2,0
1343,2,0
1345,1,0
1347,2,0
1349,1,0
1350,1,0
1352,0,0
1353,2,0
1354,1,0
1355,0,0
1357,2,0
1360,2,0
1362,1,0
1364,2,0
1365,2,0
1367,2,0
1369,2,0
1379,2,0
1380,1,0
1382,2,0
1383,0,0
1384,0,0
1386,0,0
1389,1,0
1390,2,0
1391,2,0
1394,1,0
1396,0,0
1397,2,0
1400,2,0
1401,0,0
1402,2,0
1403,1,0
1404,2,0
1405,2,0
1406,2,0
1407,2,0
1409,2,0
1410,2,0
1412,2,0
1414,2,0
1415,2,0
1416,2,0
1417,2,0
1419,2,1
1421,2,0
1423,2,0
1424,0,0
1426,2,0
1428,2,0
1430,2,0
1432,1,0
1433,2,0
1434,2,0
1435,0,0
1436,2,0
1440,2,0
1443,2,0
1444,0,1
1446,2,0
1447,2,0
1449,2,0
1451,2,0
1452,1,0
1453,2,0
1454,2,0
1455,2,0
1457,1,0
1459,2,0
1460,0,0
1461,0,0
1462,2,0
1463,2,0
1464,2,0
1465,2,0
1466,2,0
1467,2,1
1469,1,0
1470,0,0
1471,2,0
1472,2,0
1473,2,0
1474,2,0
1480,0,0
1482,2,0
1483,2,0
1484,0,0
1485,1,0
1486,2,0
1489,0,0
1491,1,0
1492,2,0
1497,0,0
1498,2,0
1499,2,0
1500,2,0
1504,1,0
1508,2,0
1510,2,0
1512,2,0
1518,2,0
1519,2,0
1521,1,0
1522,2,0
1523,2,0
1526,2,0
1528,2,0
1531,2,0
1535,1,0
1537,2,0
1538,2,0
1542,2,0
1543,2,0
1544,2,0
1545,0,0
1546,2,0
1547,2,0
1548,2,0
1549,0,0
1550,2,0
1552,2,0
1554,1,0
