product_id,product_name,aisle_id,department_id
1,8641,61,19
2,2017,104,13
3,38572,94,7
4,40976,38,1
5,18583,5,13
6,13348,11,11
7,36615,98,7
8,11762,116,1
9,23263,120,16
10,41863,115,7
11,34071,31,7
12,8502,119,1
13,38944,11,11
14,15896,74,17
15,33569,56,18
16,25867,103,19
17,38009,35,12
18,35094,79,1
19,17500,63,9
20,35404,98,7
21,40889,40,8
22,15722,20,11
23,32192,49,12
24,45685,47,11
25,39092,3,19
26,14597,41,8
27,10385,127,11
28,48154,121,14
29,15765,81,15
30,44951,38,1
31,48455,123,4
32,26685,107,19
33,31770,131,9
34,34149,121,14
35,21276,106,12
36,45576,38,1
37,27644,69,15
38,46267,100,21
39,11865,64,7
40,4083,106,12
41,31749,78,19
42,4455,47,11
43,29423,123,4
44,41881,115,7
45,14027,83,4
46,37066,58,1
47,28308,66,6
48,39405,87,17
49,47476,14,20
50,36510,105,13
51,38863,22,11
52,25917,134,5
53,48748,98,7
54,717,41,8
55,22485,22,11
56,19503,23,19
57,15139,111,17
58,48884,128,3
59,24972,50,19
60,7376,9,9
61,37088,69,15
62,35860,96,20
63,3680,92,18
64,3144,92,18
65,31476,89,13
66,14032,123,4
67,21539,88,13
68,33743,130,14
69,47208,26,7
70,43880,66,6
71,46264,111,17
72,30389,100,21
73,21523,77,7
74,2934,14,20
75,19700,65,11
76,42200,12,9
77,9833,3,19
78,27807,61,19
79,48940,95,15
80,15558,19,13
81,4818,38,1
82,1726,98,7
83,478,128,3
84,22350,7,12
85,41546,96,20
86,6457,6,2
87,9471,94,7
88,36267,47,11
89,49385,123,4
90,41197,121,14
91,22044,47,11
92,24744,40,8
93,46582,23,19
94,29019,92,18
95,31512,66,6
96,42442,97,13
97,29233,94,7
98,669,2,16
99,23713,83,4
100,34131,38,1
101,5427,112,3
102,12020,61,19
103,42456,78,19
104,19867,69,15
105,13557,10,17
106,32600,92,18
107,25421,51,13
108,31842,112,3
109,18302,13,20
110,46610,100,21
111,14465,75,17
112,20578,51,13
113,21009,70,11
114,23249,69,15
115,39416,50,19
